date,close
2010-01-01,1.0339000225067139
2010-01-04,1.029099941253662
2010-01-05,1.0336999893188477
2010-01-06,1.0276000499725342
2010-01-07,1.0335999727249146
2010-01-08,1.0235999822616577
2010-01-11,1.016700029373169
2010-01-12,1.0188000202178955
2010-01-13,1.0176000595092773
2010-01-14,1.0185999870300293
2010-01-15,1.024899959564209
2010-01-18,1.0235999822616577
2010-01-19,1.0326000452041626
2010-01-20,1.0435999631881714
2010-01-21,1.041599988937378
2010-01-22,1.0418000221252441
2010-01-25,1.0399999618530273
2010-01-26,1.0458999872207642
2010-01-27,1.0497000217437744
2010-01-28,1.051800012588501
2010-01-29,1.0607999563217163
2010-02-01,1.056399941444397
2010-02-02,1.0547000169754028
2010-02-03,1.0580999851226807
2010-02-04,1.065600037574768
2010-02-05,1.0721999406814575
2010-02-08,1.0728000402450562
2010-02-09,1.0651999711990356
2010-02-10,1.0664000511169434
2010-02-11,1.0707000494003296
2010-02-12,1.0750999450683594
2010-02-15,1.0770000219345093
2010-02-16,1.0657999515533447
2010-02-17,1.0775799751281738
2010-02-18,1.0877000093460083
2010-02-19,1.0757999420166016
2010-02-22,1.0755000114440918
2010-02-23,1.082200050354004
2010-02-24,1.0808000564575195
2010-02-25,1.0810999870300293
2010-02-26,1.0733000040054321
2010-03-01,1.0789999961853027
2010-03-02,1.0741000175476074
2010-03-03,1.0674999952316284
2010-03-04,1.0770000219345093
2010-03-05,1.0750999450683594
2010-03-08,1.0740000009536743
2010-03-09,1.0743000507354736
2010-03-10,1.0705000162124634
2010-03-11,1.0681999921798706
2010-03-12,1.0566999912261963
2010-03-15,1.0614999532699585
2010-03-16,1.0550999641418457
2010-03-17,1.0542000532150269
2010-03-18,1.0570000410079956
2010-03-19,1.0604000091552734
2010-03-22,1.057569980621338
2010-03-23,1.0571000576019287
2010-03-24,1.0716999769210815
2010-03-25,1.0715999603271484
2010-03-26,1.0647000074386597
2010-03-29,1.062399983406067
2010-03-30,1.0657999515533447
2010-03-31,1.0536600351333618
2010-04-01,1.0544500350952148
2010-04-02,1.0609999895095825
2010-04-05,1.0621999502182007
2010-04-06,1.0686399936676025
2010-04-07,1.0733000040054321
2010-04-08,1.0731500387191772
2010-04-09,1.0662000179290771
2010-04-12,1.059399962425232
2010-04-13,1.0543999671936035
2010-04-14,1.051360011100769
2010-04-15,1.056399941444397
2010-04-16,1.0613000392913818
2010-04-19,1.0628999471664429
2010-04-20,1.0683000087738037
2010-04-21,1.0700000524520874
2010-04-22,1.079800009727478
2010-04-23,1.0719000101089478
2010-04-26,1.0711100101470947
2010-04-27,1.0877399444580078
2010-04-28,1.0848000049591064
2010-04-29,1.0816999673843384
2010-04-30,1.075600028038025
2010-05-03,1.0853999853134155
2010-05-04,1.104830026626587
2010-05-05,1.117799997329712
2010-05-06,1.113700032234192
2010-05-07,1.1100000143051147
2010-05-10,1.1095000505447388
2010-05-11,1.111649990081787
2010-05-12,1.1101000308990479
2010-05-13,1.1172000169754028
2010-05-14,1.1332000494003296
2010-05-17,1.1316900253295898
2010-05-18,1.1497999429702759
2010-05-19,1.1523200273513794
2010-05-20,1.149999976158142
2010-05-21,1.1478999853134155
2010-05-24,1.1591800451278687
2010-05-25,1.1571999788284302
2010-05-26,1.1598999500274658
2010-05-27,1.152999997138977
2010-05-28,1.15910005569458
2010-05-31,1.1562999486923218
2010-06-01,1.155500054359436
2010-06-02,1.1552000045776367
2010-06-03,1.1561000347137451
2010-06-04,1.1620999574661255
2010-06-07,1.1627000570297241
2010-06-08,1.152400016784668
2010-06-09,1.147879958152771
2010-06-10,1.143280029296875
2010-06-11,1.148900032043457
2010-06-14,1.1427600383758545
2010-06-15,1.1338000297546387
2010-06-16,1.1305999755859375
2010-06-17,1.1115000247955322
2010-06-18,1.1080000400543213
2010-06-21,1.1104999780654907
2010-06-22,1.1073999404907227
2010-06-23,1.1045000553131104
2010-06-24,1.1016000509262085
2010-06-25,1.0923999547958374
2010-06-28,1.0871000289916992
2010-06-29,1.0819900035858154
2010-06-30,1.0778000354766846
2010-07-01,1.0607999563217163
2010-07-02,1.0618000030517578
2010-07-05,1.0637999773025513
2010-07-06,1.0597000122070312
2010-07-07,1.0520000457763672
2010-07-08,1.0496000051498413
2010-07-09,1.0578999519348145
2010-07-12,1.0610599517822266
2010-07-13,1.0544999837875366
2010-07-14,1.0520000457763672
2010-07-15,1.0420000553131104
2010-07-16,1.0503000020980835
2010-07-19,1.0549999475479126
2010-07-20,1.0515999794006348
2010-07-21,1.0500999689102173
2010-07-22,1.0422999858856201
2010-07-23,1.0530999898910522
2010-07-26,1.048509955406189
2010-07-27,1.0607000589370728
2010-07-28,1.0568000078201294
2010-07-29,1.0400999784469604
2010-07-30,1.0407999753952026
2010-08-02,1.039199948310852
2010-08-03,1.039430022239685
2010-08-04,1.0393999814987183
2010-08-05,1.0534000396728516
2010-08-06,1.0460000038146973
2010-08-09,1.0378999710083008
2010-08-10,1.048200011253357
2010-08-11,1.047700047492981
2010-08-12,1.0597800016403198
2010-08-13,1.0498000383377075
2010-08-16,1.0503400564193726
2010-08-17,1.0393999814987183
2010-08-18,1.0436099767684937
2010-08-19,1.0422999858856201
2010-08-20,1.0325000286102295
2010-08-23,1.0352100133895874
2010-08-24,1.0413000583648682
2010-08-25,1.0317000150680542
2010-08-26,1.0292999744415283
2010-08-27,1.024399995803833
2010-08-30,1.0285999774932861
2010-08-31,1.0251400470733643
2010-09-01,1.014299988746643
2010-09-02,1.0149600505828857
2010-09-03,1.0127999782562256
2010-09-06,1.0162999629974365
2010-09-07,1.0103000402450562
2010-09-08,1.0110000371932983
2010-09-09,1.0110000371932983
2010-09-10,1.0152000188827515
2010-09-13,1.0196399688720703
2010-09-14,1.0078999996185303
2010-09-15,0.9954000115394592
2010-09-16,1.0020899772644043
2010-09-17,1.0154399871826172
2010-09-20,1.0094499588012695
2010-09-21,1.004699945449829
2010-09-22,0.9972000122070312
2010-09-23,0.9865999817848206
2010-09-24,0.9853000044822693
2010-09-27,0.9845700263977051
2010-09-28,0.9855999946594238
2010-09-29,0.9763000011444092
2010-09-30,0.9767000079154968
2010-10-01,0.9839000105857849
2010-10-04,0.9760000109672546
2010-10-05,0.9715999960899353
2010-10-06,0.9660000205039978
2010-10-07,0.9621000289916992
2010-10-08,0.9656000137329102
2010-10-11,0.9615799784660339
2010-10-12,0.9642000198364258
2010-10-13,0.9571800231933594
2010-10-14,0.9577999711036682
2010-10-15,0.9530100226402283
2010-10-18,0.9584100246429443
2010-10-19,0.9589099884033203
2010-10-20,0.9707000255584717
2010-10-21,0.9617999792098999
2010-10-22,0.9677000045776367
2010-10-25,0.9774900078773499
2010-10-26,0.9719600081443787
2010-10-27,0.9840400218963623
2010-10-28,0.9897800087928772
2010-10-29,0.9897800087928772
2010-11-01,0.9821000099182129
2010-11-02,0.9919000267982483
2010-11-03,0.9793999791145325
2010-11-04,0.972000002861023
2010-11-05,0.957889974117279
2010-11-08,0.9603999853134155
2010-11-09,0.9672999978065491
2010-11-10,0.9682999849319458
2010-11-11,0.9705399870872498
2010-11-12,0.9763000011444092
2010-11-15,0.9790999889373779
2010-11-16,0.9850999712944031
2010-11-17,0.9962999820709229
2010-11-18,0.9907000064849854
2010-11-19,0.9954000115394592
2010-11-22,0.9922199845314026
2010-11-23,0.987820029258728
2010-11-24,0.9965999722480774
2010-11-25,0.9944000244140625
2010-11-26,1.0
2010-11-29,1.0027999877929688
2010-11-30,1.001099944114685
2010-12-01,1.0025999546051025
2010-12-02,1.0029000043869019
2010-12-03,0.9926999807357788
2010-12-06,0.9747999906539917
2010-12-07,0.9821000099182129
2010-12-08,0.9879000186920166
2010-12-09,0.9861999750137329
2010-12-10,0.9829999804496765
2010-12-13,0.9818000197410583
2010-12-14,0.9678999781608582
2010-12-15,0.9610000252723694
2010-12-16,0.967199981212616
2010-12-17,0.9645000100135803
2010-12-20,0.9697999954223633
2010-12-21,0.9648000001907349
2010-12-22,0.957830011844635
2010-12-23,0.9513999819755554
2010-12-24,0.9574999809265137
2010-12-27,0.9634000062942505
2010-12-28,0.9585999846458435
2010-12-29,0.9519299864768982
2010-12-30,0.9446300268173218
2010-12-31,0.934499979019165
2011-01-03,0.9319999814033508
2011-01-04,0.9342399835586548
2011-01-05,0.9472000002861023
2011-01-06,0.9658100008964539
2011-01-07,0.9659000039100647
2011-01-10,0.9666000008583069
2011-01-11,0.9659000039100647
2011-01-12,0.9734699726104736
2011-01-13,0.9671000242233276
2011-01-14,0.9638800024986267
2011-01-17,0.963699996471405
2011-01-18,0.9646000266075134
2011-01-19,0.9638000130653381
2011-01-20,0.9557999968528748
2011-01-21,0.9667999744415283
2011-01-24,0.9581999778747559
2011-01-25,0.9491999745368958
2011-01-26,0.9420999884605408
2011-01-27,0.9426000118255615
2011-01-28,0.9460399746894836
2011-01-31,0.9417999982833862
2011-02-01,0.9431999921798706
2011-02-02,0.9351999759674072
2011-02-03,0.9395999908447266
2011-02-04,0.9462699890136719
2011-02-07,0.9543799757957458
2011-02-08,0.954800009727478
2011-02-09,0.9632999897003174
2011-02-10,0.9581999778747559
2011-02-11,0.9685999751091003
2011-02-14,0.9736700057983398
2011-02-15,0.9704999923706055
2011-02-16,0.9659000039100647
2011-02-17,0.9590799808502197
2011-02-18,0.949400007724762
2011-02-21,0.9438999891281128
2011-02-22,0.945900022983551
2011-02-23,0.9375
2011-02-24,0.9319000244140625
2011-02-25,0.9248200058937073
2011-02-28,0.9279999732971191
2011-03-01,0.928820013999939
2011-03-02,0.9283000230789185
2011-03-03,0.9233999848365784
2011-03-04,0.9319000244140625
2011-03-07,0.9261000156402588
2011-03-08,0.9264100193977356
2011-03-09,0.9350000023841858
2011-03-10,0.9298099875450134
